Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão","Manual (M)
Automática (A)
Automática Dupla Embreagem (DCT)
Automatizada (MTA)
Contínua
(CVT)",Ar Cond.,"Hidráulica (H)
Mecânica (M)
Elétrica (E)
Eletro- hidráulica (E-H)","Elétrico Puro (E)
Gasolina (G)
Flex (F)
Diesel (D)","NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)",Redução Relativa ao  Limite,"CO2
fóssil (g/km)","CO2
fóssil (g/km)","CO2e
fóssil (g/km)",Cidade (km/l),Estrada (km/l),Cidade (km/l),Estrada (km/l),Cidade (km/l e),Estrada (km/l e),Consumo Energético (MJ/km),"Autonomia no modo Elétrico (km)
Norma SAE J1634","Comparação Relativa
na Categoria",Comparação Absoluta Geral,"Selo CONPET
de Eficiência Energética"
Compacto,FIAT,ARGO,DRIVE AT  (MY23),1.3-8V,Combustão,CVT-7,S,E,F,52,287,2,B,0,97,\,8.9,10.6,12.8,14.6,\,\,1.57,\,B,B,-
Compacto,FIAT,ARGO,DRIVE,1.3-8V,Combustão,M-5,S,E,F,35,228,3,A,0,95,\,9.1,10.5,13.1,15.0,\,\,1.54,\,B,B,-
Compacto,Hyundai,HB20,Sense,1.0-12V,Combustão,M-5,S,E,F,23,284,2,A,0,95,\,9.6,10.4,13.3,14.6,\,\,1.52,\,A,B,SIM
Compacto,Hyundai,HB20,Comfort,1.0-12V,Combustão,M-5,S,E,F,23,284,2,A,0,95,\,9.6,10.4,13.3,14.6,\,\,1.52,\,A,B,SIM
Compacto,Hyundai,HB20,Limited,1.0-12V,Combustão,M-5,S,E,F,23,284,2,A,0,95,\,9.6,10.4,13.3,14.6,\,\,1.52,\,A,B,SIM
Compacto,Hyundai,HB20,Comfort,1.0-12V T,Combustão,M-6,S,E,F,26,88,2,A,0,95,\,9.4,10.6,13.4,14.6,\,\,1.52,\,A,B,SIM
Compacto,Hyundai,HB20,Comfort,1.0-12V T,Combustão,A-6,S,E,F,28,142,4,A,0,106,\,8.3,9.9,11.7,13.9,\,\,1.70,\,C,B,-
Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,A-6,S,E,F,28,142,4,A,0,106,\,8.3,9.9,11.7,13.9,\,\,1.70,\,C,B,-
Compacto,Hyundai,HB20,Platinum Plus,1.0-12V T,Combustão,A-6,S,E,F,29,137,3,A,0,100,\,9.0,10.3,12.7,14.0,\,\,1.59,\,B,B,-
Compacto,MINI,Cooper,S Electric,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,38.5,31.8,0.58,161,A,A,-
Compacto,MINI,Cooper,S 5P,2.0 - 16V,Combustão,DCT-7,S,E,G,5,101,1,A,\,118,\,\,\,10.3,13.2,\,\,1.91,\,E,C,-
Compacto,MINI,JCW,Hatch 3P,2.0 - 16V,Combustão,A-8,S,E,G,6,134,0,A,\,116,\,\,\,10.3,13.9,\,\,1.88,\,E,C,-
Compacto,MINI,Cooper,S 3P,2.0 - 16V,Combustão,DCT-7,S,E,G,6,94,0,A,\,117,\,\,\,10.3,13.4,\,\,1.90,\,E,C,-
